courseId,courseOfferNumber,termCode,termDescription,sessionCode,classSection,classMtgNbr,classMeetingDescription,meetingTimeStart,meetingTimeEnd,mon,tues,wed,thurs,fri,sat,sun,startDt,endDt,facilityId,facilityDescription,academicCareer
104039,1,2172,2017 Spring,1,01PC,1,Pastoral Care & Counseling,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,HDS
104039,1,2172,2017 Spring,1,01PW,1,Preaching & Worship,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,HDS
104039,1,2172,2017 Spring,1,01RE,1,Religious Education,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,HDS
104039,1,2172,2017 Spring,1,1,1, ,01-JAN-00 04.00.00.000000000 PM,01-JAN-00 05.29.00.000000000 PM,Y,N,Y,N,N,N,N,23-Jan-17,26-Apr-17, ,,HDS
105609,1,2178,2017 Fall,1,1,1, ,01-JAN-00 02.00.00.000000000 PM,01-JAN-00 03.29.00.000000000 PM,N,N,Y,N,N,N,N,30-Aug-17,20-Dec-17, ,,HDS
108354,1,2172,2017 Spring,1,1,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108355,1,2172,2017 Spring,1,1,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108356,1,2172,2017 Spring,1,1,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108374,1,2172,2017 Spring,1,1,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108389,1,2172,2017 Spring,1,1,1, ,01-JAN-00 01.30.00.000000000 PM,01-JAN-00 03.29.00.000000000 PM,Y,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108446,1,2172,2017 Spring,1,1,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108446,1,2172,2017 Spring,1,2,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108446,1,2172,2017 Spring,1,4,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108447,1,2172,2017 Spring,1,1,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108447,1,2172,2017 Spring,1,2,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
108447,1,2172,2017 Spring,1,3,1, ,,,N,N,N,N,N,N,N,23-Jan-17,26-Apr-17, ,,FAS
