courseId,courseOfferNumber,termCode,termDescription,sessionCode,classSection,crseCatEffectiveDate,subject,subjectDescription,catalogNumber,catalogNumberInt,catalogNumberChar,catalogNumberSort,classNumber,academicYear,courseTitleLong,enrollmentCap,componentCode,componentDescription,unitsMaximum,equivalentCourseId,academicCareer,classAcadOrg,classAcadOrgDescription,subjectAcadOrg,subjectAcadOrgDescription,acadGroup,acadGroupDescription,gradingBasis,gradingBasisDescription,classType,classTypeDescription,enrollmentConsent,enrollmentConsentDesc,requirementGroup,requirementGroupDescription,examDate,examTimeCode,schedulePrint,classStatus,classStatusDescription,termPatternCode,termPatternDescription,courseNote,recommendedPreparation,bracketedFlag,courseDescr,courseDescrlong,enrollmentCount
108354,1,2172,2017 Spring,1,001,15-JAN-16,BCMP,Biological Chemistry and Molecular Pharmacology,387,387,"",000000000000000387,10410,2017,Single-molecule Biophysics and Force Spectroscopy,9999,RR,Reading and Research,16, ,FAS,MDSC,Medical Sciences,MDSC,Medical Sciences,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Single-molecule Biophysics,<p></p>,0
108355,1,2172,2017 Spring,1,001,15-JAN-16,NEUROBIO,Neurobiology - Graduate,348,348,"",000000000000000348,10411,2017,Neural stem cells and cerebrospinal fluid,9999,RR,Reading and Research,16, ,FAS,MDSC,Medical Sciences,MDSC,Medical Sciences,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Neural stem cells,<p></p>,0
108356,1,2172,2017 Spring,1,001,15-JAN-16,NEUROBIO,Neurobiology - Graduate,307,307,"",000000000000000307,10412,2017,Architecture and plasticity of neurotransmitter release sites,9999,RR,Reading and Research,16, ,FAS,MDSC,Medical Sciences,MDSC,Medical Sciences,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Architecture and plasticity,<p></p>,0
108374,1,2172,2017 Spring,1,001,18-AUG-16,COMPSCI,Computer Science,304,304,"",000000000000000304,10419,2017,Statistical Machine Learning,9999,THE,Thesis Research,4, ,FAS,CS,Computer Science,CS,Computer Science,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Statistical Machine Learning,<p></p>,0
108389,1,2172,2017 Spring,1,001,15-AUG-16,FRSEMR,Freshman Seminar,21G,21,G,000000000000000021G,10422,2017,How Did the First Stars and Galaxies Form?,12,FSE,Freshman Seminar,4, ,FAS,FRSP,Freshman Seminars,FRSP,Freshman Seminars,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required,001067,Course open to Freshman Students Only,"","",Y,A,Active,SP,Spring Only,"","",N,How Did the First Stars and,"<p>Since the Universe is expanding, it must have been denser in the past. But even before we get all the way back to the Big Bang, there must have been a time when stars like our Sun or galaxies like our own Milky Way did not exist because the Universe was denser than they are. We therefore face the important question about our origins: how and when did the first stars and galaxies form? Primitive versions of this question were considered by humans in religious and philosophical texts for thousands of years, long before it was realized that the Universe expands. The Seminar will summarize the fundamental principles and scientific ideas that are being used to address this question in modern cosmology. Previous generations of scholars have also wondered about the long-term future of the Universe. For the first time in history, we now have a standard cosmological model that agrees with a large body of data about the past history of the Universe. The Seminar will conclude with the forecast that this scientific model makes about our future. The Seminar will be based on a book with the same title written by Professor Loeb (Princeton University Press, 2010).</p>",0
108446,1,2172,2017 Spring,1,001,15-AUG-16,MODMDEST,Modern Middle East,91R,91,R,000000000000000091R,10438,2017,Supervised Reading and Research,999,TUT,Tutorial,4, ,FAS,NELC,Near Eastern Languages and Civilizations,NELC,Near Eastern Languages and Civilizations,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Supervised Reading/Research,<p>Tutorial supervision of research in subjects not treated in regular courses.</p>,0
108446,1,2172,2017 Spring,1,002,15-AUG-16,MODMDEST,Modern Middle East,91R,91,R,000000000000000091R,12741,2017,Supervised Reading and Research,999,TUT,Tutorial,4, ,FAS,NELC,Near Eastern Languages and Civilizations,NELC,Near Eastern Languages and Civilizations,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Supervised Reading/Research,<p>Tutorial supervision of research in subjects not treated in regular courses.</p>,0
108446,1,2172,2017 Spring,1,004,15-AUG-16,MODMDEST,Modern Middle East,91R,91,R,000000000000000091R,12742,2017,Supervised Reading and Research,999,TUT,Tutorial,4, ,FAS,NELC,Near Eastern Languages and Civilizations,NELC,Near Eastern Languages and Civilizations,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Supervised Reading/Research,<p>Tutorial supervision of research in subjects not treated in regular courses.</p>,0
108447,1,2172,2017 Spring,1,001,30-AUG-15,MODMDEST,Modern Middle East,300,300,"",000000000000000300,10439,2017,Direction of Master's Thesis,999,THE,Thesis Research,4, ,FAS,NELC,Near Eastern Languages and Civilizations,NELC,Near Eastern Languages and Civilizations,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Direction of Master's Thesis,<p></p>,0
108447,1,2172,2017 Spring,1,002,30-AUG-15,MODMDEST,Modern Middle East,300,300,"",000000000000000300,12672,2017,Direction of Master's Thesis,999,THE,Thesis Research,4, ,FAS,NELC,Near Eastern Languages and Civilizations,NELC,Near Eastern Languages and Civilizations,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Direction of Master's Thesis,<p></p>,0
108447,1,2172,2017 Spring,1,003,30-AUG-15,MODMDEST,Modern Middle East,300,300,"",000000000000000300,12673,2017,Direction of Master's Thesis,999,THE,Thesis Research,4, ,FAS,NELC,Near Eastern Languages and Civilizations,NELC,Near Eastern Languages and Civilizations,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Direction of Master's Thesis,<p></p>,0
108447,1,2172,2017 Spring,1,005,30-AUG-15,MODMDEST,Modern Middle East,300,300,"",000000000000000300,12674,2017,Direction of Master's Thesis,999,THE,Thesis Research,4, ,FAS,NELC,Near Eastern Languages and Civilizations,NELC,Near Eastern Languages and Civilizations,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Direction of Master's Thesis,<p></p>,0
108465,1,2172,2017 Spring,1,001,30-AUG-15,PHYSICS,Physics,143A,143,A,000000000000000143A,10449,2017,Quantum Mechanics I,9999,LEC,Lecture,4, ,FAS,PHYS,Physics,PHYS,Physics,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"",Linear algebra including matrix diagonalization; Physics 15c or written permission of the Head Tutor.,N,Quantum Mechanics I,"<p>Introduction to nonrelativistic quantum mechanics: uncertainty relations; Schr&ouml;dinger equation; Dirac notation; matrix mechanics; one-dimensional problems including particle in box, tunneling, and harmonic oscillator; angular momentum, hydrogen atom, spin, Pauli principle; time-independent perturbation theory; scattering.</p>",0
108465,1,2172,2017 Spring,1,001D,30-AUG-15,PHYSICS,Physics,143A,143,A,000000000000000143A,12575,2017,Quantum Mechanics I,999,DIS,Discussion,4, ,FAS,PHYS,Physics,PHYS,Physics,FAS,Faculty of Arts & Sciences,LG,Letter Grades,N,Non-Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"",Linear algebra including matrix diagonalization; Physics 15c or written permission of the Head Tutor.,N,Quantum Mechanics I,"<p>Introduction to nonrelativistic quantum mechanics: uncertainty relations; Schr&ouml;dinger equation; Dirac notation; matrix mechanics; one-dimensional problems including particle in box, tunneling, and harmonic oscillator; angular momentum, hydrogen atom, spin, Pauli principle; time-independent perturbation theory; scattering.</p>",0
108513,1,2172,2017 Spring,1,001,15-AUG-16,FRSEMR,Freshman Seminar,34O,34,O,000000000000000034O,10459,2017,You and Your Camera,12,FSE,Freshman Seminar,4, ,FAS,FRSP,Freshman Seminars,FRSP,Freshman Seminars,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required,001067,Course open to Freshman Students Only,"","",Y,A,Active,SP,Spring Only,Arrangements for loaned cameras will be made for those that do not own one.,"Ideally students should have a good high school physics course; however, individuals who are motivated to understand the science of photography should not have a problem with the material taught in the seminar. Similarly students should feel comfortable with high school algebra and trigonometry.",N,You and Your Camera,"<p>The goal of representing the 3-dimensional world on a 2-dimensional surface dates back at least 30,000 years.&nbsp; For nearly all of these past centuries there were relatively few people who had the talent to create realistic 2-dimensional images of the people and things that wanted preservation. Although photography has changed this there are still significant differences between the images that most people create and the photographs of leading photographers.&nbsp; The hope is that this seminar will give students the tools to improve their photographs. After a brief review of the historical review of art and photography the seminar will proceed to discuss the components of a modern camera, what the components are and how they work. Topics to be covered include both the physical optics of simple and compound lenses as well as the quantum physics that is the basis of the electronic devices that are fundamental to digital photography. The differences between the RAW, JPEG and TIFF methods for storing digital photographs will be discussed along with artifacts such as the aliasing that can arise in the digitization of images. Exercises will include, amongst other things, how to manipulate images using the open source GIMP software. An essential issue for color photography is the manner in which the human visual system transforms the wavelength information in the light entering the eye into perceptions of color. The seminar will explain the trichromatic theory of color vision and then discuss the management systems for color printing.</p>",0
