academic_group,subject_description,division,division_description
FAS,Graduate Audit,misc,Misc
FAS,Graduate Independent Study,misc,Misc
FAS,Graduate Research,misc,Misc
FAS,Graduate Teaching,misc,Misc
FAS,Independent Study,misc,Misc
FAS,Leverett House Seminar,HSEM,House Seminars
FAS,Freshman Seminar,FRSP,Freshman Seminar
FAS,Aesthetic and Interpretive Understanding,GEN_ED,GenEd
FAS,Culture and Belief,GEN_ED,GenEd
FAS,Empirical and Mathematical Reasoning,GEN_ED,GenEd
FAS,Ethical Reasoning,GEN_ED,GenEd
FAS,Humanities Studio,GEN_ED,GenEd
FAS,Science of Living Systems,GEN_ED,GenEd
FAS,Science of the Physical Universe,GEN_ED,GenEd
FAS,Societies of the World,GEN_ED,GenEd
FAS,United States in the World,GEN_ED,GenEd
FAS,Global Health and Health Policy,GLOBHLTH,Global Health and Health Policy
FAS,Winthrop House Seminar,HSEM,House Seminars
FAS,Akkadian,HUMANITIES,Humanities
FAS,Ancient Near East,HUMANITIES,Humanities
FAS,Arabic,HUMANITIES,Humanities
FAS,Aramaic,HUMANITIES,Humanities
FAS,Armenian,HUMANITIES,Humanities
FAS,Armenian Studies,HUMANITIES,Humanities
FAS,"Bosnian, Croatian, and Serbian",HUMANITIES,Humanities
FAS,Catalan,HUMANITIES,Humanities
FAS,Celtic,HUMANITIES,Humanities
FAS,Celtic (Summer),HUMANITIES,Humanities
FAS,Chaghatay,HUMANITIES,Humanities
FAS,Chinese,HUMANITIES,Humanities
FAS,Chinese (Summer),HUMANITIES,Humanities
FAS,Chinese History,HUMANITIES,Humanities
FAS,Chinese Literature,HUMANITIES,Humanities
FAS,Classical Archaeology,HUMANITIES,Humanities
FAS,Classical Hebrew,HUMANITIES,Humanities
FAS,Classical Philology,HUMANITIES,Humanities
FAS,Classical Studies,HUMANITIES,Humanities
FAS,Classics,HUMANITIES,Humanities
FAS,Creative Writing (Summer),HUMANITIES,Humanities
FAS,Czech,HUMANITIES,Humanities
FAS,Czech (Summer),HUMANITIES,Humanities
